2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_9, input: (1,), output: (1,), time: 0.000025s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_9, input: (3,), output: (3,), time: 0.000022s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_10, input: (3,), output: (3,), time: 0.000067s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_10, input: (1,), output: (1,), time: 0.000022s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_10, input: (3,), output: (3,), time: 0.000019s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_11, input: (3,), output: (3,), time: 0.000065s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_11, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_11, input: (3,), output: (3,), time: 0.000018s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_12, input: (3,), output: (3,), time: 0.000062s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_12, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_12, input: (3,), output: (3,), time: 0.000017s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_13, input: (3,), output: (3,), time: 0.000061s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_13, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_13, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_14, input: (3,), output: (3,), time: 0.000060s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_14, input: (1,), output: (1,), time: 0.000023s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_14, input: (3,), output: (3,), time: 0.000017s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_15, input: (3,), output: (3,), time: 0.000062s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_15, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_15, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_16, input: (3,), output: (3,), time: 0.000061s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_16, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_16, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_17, input: (3,), output: (3,), time: 0.000061s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_17, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_17, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_18, input: (3,), output: (3,), time: 0.000061s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_18, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_18, input: (3,), output: (3,), time: 0.000015s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_19, input: (3,), output: (3,), time: 0.000060s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_19, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_19, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_20, input: (3,), output: (3,), time: 0.000060s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_20, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_20, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Step 20: {"step_duration": 0.00014781951904296875}
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_21, input: (3,), output: (3,), time: 0.000063s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_21, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_21, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_22, input: (3,), output: (3,), time: 0.000061s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_22, input: (1,), output: (1,), time: 0.000020s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_22, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_23, input: (3,), output: (3,), time: 0.000062s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_23, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_23, input: (3,), output: (3,), time: 0.000016s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_24, input: (3,), output: (3,), time: 0.000062s
