step,entropy
1,0.38997500048077083
2,0.46134566974720237
3,0.4219139400605462
4,0.44564919818119275
5,0.4320839382588933
6,0.44006813595159333
7,0.4354496682475941
8,0.43814811932002035
9,0.43658069405959116
10,0.4374942518410289
11,0.4369628487401281
12,0.4372723147328646
13,0.4370922162288501
14,0.4371970682991202
15,0.5136720183282873
16,0.48410757198056226
17,0.46538710506465025
18,0.45614085708455193
19,0.5088037410660469
20,0.5264304407263447
