step,information_gain
2,-0.08808610275843334
3,0.05868301679110511
4,-0.031557836026762445
5,0.019231552177744294
6,-0.010899221568324036
7,0.006443949111406377
8,-0.003717248120652113
9,0.0021752792726572887
10,-0.0012623694366683718
11,0.0007361506080642665
12,-0.0004280746120645096
13,0.00024933703630252785
14,-0.00014509023910496186
15,-0.2169453056538004
16,-0.04819658716551769
17,-0.022426390286219983
18,-0.009919308571359114
19,0.4397288339677792
20,-0.127602432414227
