step,variance
1,NaN
2,NaN
3,NaN
4,NaN
5,NaN
6,NaN
7,NaN
8,NaN
9,NaN
10,NaN
11,NaN
12,NaN
13,NaN
14,NaN
15,NaN
16,NaN
17,NaN
18,NaN
19,NaN
20,NaN
