Matrix: D
"Shape: (1, 8)"
Data type: float64

Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7
Row 0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
