2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Simulation logger initialized: meta_aware_sim_20250623_153634
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Initialized meta_awareness_active_inference with 3 levels
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Step 0 completed (avg step time: 0.0000s)
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Simulation logger initialized: meta_aware_sim_20250623_153634
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Initialized meta_awareness_active_inference with 3 levels
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Step 0 completed (avg step time: 0.0000s)
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Simulation logger initialized: meta_aware_sim_20250623_153634
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Initialized meta_awareness_active_inference with 3 levels
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Step 0 completed (avg step time: 0.0000s)
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Simulation logger initialized: meta_aware_sim_20250623_153634
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Initialized meta_awareness_active_inference with 3 levels
2025-06-23 15:36:34 | meta_aware.meta_aware_sim_20250623_153634 | INFO | Step 0 completed (avg step time: 0.0000s)
