2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Memory usage at step 0: 127.86 MB
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: setup_matrices, matrix: all_matrices, input: (3, 4), output: (3,), time: 0.000027s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Memory usage at step 0: 127.91 MB
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: initialize_state, matrix: state_arrays, input: (3, 100), output: (3, 100), time: 0.000045s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Memory usage at step 0: 127.91 MB
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_0, input: (3,), output: (3,), time: 0.000525s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Memory usage at step 0: 127.91 MB
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_0, input: (1,), output: (1,), time: 0.000044s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Memory usage at step 0: 127.91 MB
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_0, input: (3,), output: (3,), time: 0.000033s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Step 0: {"step_duration": 0.0011138916015625}
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_1, input: (3,), output: (3,), time: 0.000082s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_1, input: (1,), output: (1,), time: 0.000027s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_1, input: (3,), output: (3,), time: 0.000020s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_2, input: (3,), output: (3,), time: 0.000066s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_2, input: (1,), output: (1,), time: 0.000022s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_2, input: (3,), output: (3,), time: 0.000018s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_3, input: (3,), output: (3,), time: 0.000065s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_3, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_3, input: (3,), output: (3,), time: 0.000017s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_4, input: (3,), output: (3,), time: 0.000063s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_4, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_4, input: (3,), output: (3,), time: 0.000018s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_5, input: (3,), output: (3,), time: 0.000063s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_5, input: (1,), output: (1,), time: 0.000021s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: generative_update, matrix: generative_step_5, input: (3,), output: (3,), time: 0.000017s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_6, input: (3,), output: (3,), time: 0.000063s
2025-06-23 15:36:35 | meta_aware.perf.meta_aware_sim_20250623_153635 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_6, input: (1,), output: (1,), time: 0.000021s
