2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Memory usage at step 0: 127.67 MB
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: setup_matrices, matrix: all_matrices, input: (3, 4), output: (3,), time: 0.000049s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Memory usage at step 0: 127.67 MB
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: initialize_state, matrix: state_arrays, input: (3, 100), output: (3, 100), time: 0.000035s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Memory usage at step 0: 127.67 MB
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_0, input: (3,), output: (3,), time: 0.176133s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Memory usage at step 0: 127.67 MB
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_0, input: (1,), output: (1,), time: 0.000078s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Memory usage at step 0: 127.67 MB
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: generative_update, matrix: generative_step_0, input: (3,), output: (3,), time: 0.000010s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Step 0: {"step_duration": 0.17663002014160156}
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_1, input: (3,), output: (3,), time: 0.000140s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_1, input: (1,), output: (1,), time: 0.000035s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: generative_update, matrix: generative_step_1, input: (3,), output: (3,), time: 0.000005s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_2, input: (3,), output: (3,), time: 0.000075s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_2, input: (1,), output: (1,), time: 0.000024s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: generative_update, matrix: generative_step_2, input: (3,), output: (3,), time: 0.000003s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_3, input: (3,), output: (3,), time: 0.000121s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_3, input: (1,), output: (1,), time: 0.000034s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: generative_update, matrix: generative_step_3, input: (3,), output: (3,), time: 0.000004s
2025-06-23 15:36:33 | meta_aware.perf.meta_aware_sim_20250623_153633 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_4, input: (3,), output: (3,), time: 0.000072s
