variable	ontology_term
A_loc	LocationLikelihoodMatrix
A_rew	RewardLikelihoodMatrix
B_ctx	ContextTransitionMatrix
B_loc	LocationTransitionMatrix
C_loc	LocationPreferenceVector
C_rew	RewardPreferenceVector
D_ctx	ContextPrior
D_loc	LocationPrior
F	VariationalFreeEnergy
G	ExpectedFreeEnergy
G_epi	EpistemicValue
G_ins	InstrumentalValue
o_loc	LocationObservation
o_rew	RewardObservation
s_ctx	ContextHiddenState
s_loc	LocationHiddenState
t	Time
u	Action
π	PolicyVector
