# ActiveInference.jl Simulation Results
# Generated: 2026-04-12T17:28:18.418
# Model: Bnlearn Causal Model
# Steps: 15
# Columns: step, observation, action, belief_state_1
1,2,1,0.25
2,2,1,0.1818181818181819
3,2,1,0.16532258064516134
4,2,1,0.16145092460881938
5,2,1,0.1605487346529692
6,2,1,0.16033885592005123
7,2,1,0.16029005041990693
8,1,2,0.6320609935524416
9,1,2,0.7081721721316959
10,1,2,0.6818757163167914
11,2,1,0.19913754339633216
12,2,1,0.16943665711940362
13,2,1,0.1624123090959899
14,2,1,0.1607725308403262
15,1,2,0.6322547962645512
