step,semantic_score,duration_ms,complexity_measure,analysis_type
1,0.8569110419390081,20.581,2,categorical_step_1
2,0.8748784845235608,0.093,2,categorical_step_2
3,0.9722467465565362,0.023,2,categorical_step_3
4,0.9236063168458716,0.011,2,categorical_step_4
5,0.9864946589512673,0.057,2,categorical_step_5
6,0.962223123042901,0.012,2,categorical_step_6
7,1.0,0.012,2,categorical_step_7
8,0.9944804651247351,0.019,2,categorical_step_8
9,0.9527268477940324,0.012,2,categorical_step_9
10,1.0,0.02,2,categorical_step_10
11,0.8882537816042291,0.011,2,categorical_step_11
12,0.739549476577305,0.011,2,categorical_step_12
