# ActiveInference.jl Simulation Results
# Generated: 2026-02-24T07:43:54.089
# Model: Active Inference POMDP Agent
# Steps: 15
# Columns: step, observation, action, belief_state_1
1,2,3,0.21641548718854609
2,2,3,0.11276136802747035
3,2,3,0.05000000000000001
4,2,2,0.020336220732036857
5,1,3,0.9840801264044055
6,3,2,0.003067484662576688
7,3,2,0.0011749221628456073
8,3,1,0.00044896915810941994
9,3,1,0.00017140898183064815
10,3,2,6.541863690343787e-5
11,3,2,2.496390171417971e-5
12,3,1,9.52580540684714e-6
13,3,2,3.6348178659813324e-6
14,3,2,1.3869488288013344e-6
15,3,2,5.2922093386326e-7
