# ActiveInference.jl Simulation Results
# Generated: 2026-02-15T15:31:24.059
# Model: Active Inference POMDP Agent
# Steps: 30
# Columns: step, observation, action, belief_state_1
1,1,3,0.5671690256229078
2,1,3,0.41989083092116486
3,3,2,0.24985553300653507
4,3,2,0.04625188293810542
5,3,2,0.05159540362491704
6,3,1,0.007858553605097724
7,3,1,0.003052309801096362
8,3,2,0.001172689075555341
9,3,1,0.0011757764884519951
10,3,2,0.0004490938514250961
11,3,1,6.541170151705688e-5
12,3,1,2.4962891714860313e-5
13,3,1,9.52565834147364e-6
14,3,1,3.6347964530327764e-6
15,3,2,1.3869457111063519e-6
16,3,2,1.3869500184283107e-6
17,3,1,2.0193564624079577e-7
18,3,2,7.705290495122602e-8
19,3,1,7.705291824551645e-8
20,3,2,2.9401192917585883e-8
21,3,1,4.280718069658055e-9
22,3,2,1.6333996632208813e-9
23,3,1,1.6333996691949747e-9
24,3,2,6.232586225729385e-10
25,3,1,9.07444262413517e-11
26,2,1,9.074442620637508e-11
27,3,2,3.462547905221171e-11
28,3,1,9.074442626173341e-11
29,3,1,3.46254790602717e-11
30,3,1,1.3212093012165848e-11
