N \ T,10,50,100
2,0.0357,0.1542,0.0949
4,0.0353,0.3330,0.1842
8,0.0255,0.3720,0.1987
16,0.0161,0.4012,0.3049
32,0.0096,0.4258,0.3217
64,0.0055,0.4480,0.4480
128,0.0031,0.4692,0.4692
