2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | DEBUG | Custom metric 'perception_precision_variability': 0.3529411764705883
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | DEBUG | Custom metric 'attention_precision_mean': 1.295
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | DEBUG | Custom metric 'attention_precision_variability': 0.5781071681915573
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | DEBUG | Custom metric 'meta_awareness_precision_mean': 0.0
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | DEBUG | Custom metric 'meta_awareness_precision_variability': 0
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | Additional analysis completed
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | ============================================================
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | SIMULATION COMPLETED
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | ============================================================
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | End time: 2025-06-23 15:32:56.360253
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | Duration: 0.02 seconds
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO | Results summary:
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   model_name: str
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   num_levels: int
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   level_names: list with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   time_steps: int
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   state_priors: dict with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   state_posteriors: dict with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   true_states: dict with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   obs_priors: dict with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   obs_posteriors: dict with 3 items
2025-06-23 15:32:56 | meta_aware.meta_aware_sim_20250623_153256 | INFO |   true_observations: dict with 3 items
