variable	ontology_term
A_level0	FastLikelihoodMatrix
A_level1	TacticalLikelihoodMatrix
A_level2	StrategicLikelihoodMatrix
B_level0	FastTransitionMatrix
B_level1	TacticalTransitionMatrix
B_level2	StrategicTransitionMatrix
C_level0	FastPreferenceVector
C_level1	TacticalPreferenceVector
C_level2	StrategicPreferenceVector
D_level0	FastPrior
D_level1	TacticalPrior
D_level2	StrategicPrior
G0	FastExpectedFreeEnergy
G1	TacticalExpectedFreeEnergy
G2	StrategicExpectedFreeEnergy
o_level0	FastObservation
o_level1	TacticalObservation
o_level2	StrategicObservation
pi0	FastPolicyVector
pi1	TacticalPolicyVector
pi2	StrategicPolicyVector
s_level0	FastHiddenState
s_level1	TacticalHiddenState
s_level2	StrategicHiddenState
t	Time
tau_level0	FastTimeConstant
tau_level1	TacticalTimeConstant
tau_level2	StrategicTimeConstant
u_level0	FastAction
u_level1	TacticalAction
u_level2	StrategicAction
