# ActiveInference.jl Simulation Results
# Generated: 2026-05-12T07:33:03.522
# Model: Time-Varying Transition Dynamics Agent
# Steps: 10
# Columns: step, observation, action, belief_state_1
1,2,2,0.2481203007518797
2,3,1,0.14577404159587956
3,2,1,0.18119739623504974
4,2,2,0.2047184873434907
5,2,2,0.18267545149113165
6,1,2,0.4131608855250319
7,2,1,0.17441532300332896
8,1,2,0.47162846709254724
9,3,1,0.12298061609622474
10,3,1,0.10216745656478612
