lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.6.1,filtered_state.7.1,filtered_state.8.1,filtered_state.9.1,filtered_state.10.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,filtered_state.6.2,filtered_state.7.2,filtered_state.8.2,filtered_state.9.2,filtered_state.10.2,log_marginal
# Adaptation terminated
# Step size = 0.887452
# Diagonal elements of inverse mass matrix:
# 0.108906, 0.12301
-28.393697,0.95769807,0.88745175,2,3,0,29.419981,0.90739909,0.16123295,0.092600906,0.83876705,0.099424621,0.053760633,0.049712813,0.049362872,0.72567504,0.13722259,0.057256598,0.72854795,0.89066652,0.17408714,0.90057538,0.94623937,0.95028719,0.95063713,0.27432496,0.86277741,0.9427434,0.27145205,0.10933348,0.82591286,-7.1857429
-27.765271,0.9733005,0.88745175,2,3,0,29.017406,0.87437349,0.19543416,0.12562651,0.80456584,0.13505434,0.078826654,0.071873545,0.071039102,0.68631006,0.174127,0.083884264,0.69128388,0.85897,0.21993965,0.86494566,0.92117335,0.92812645,0.9289609,0.31368994,0.825873,0.91611574,0.30871612,0.14103,0.78006035,-7.1658694
-28.016688,0.98436437,0.88745175,2,3,0,28.7146,0.89147319,0.099036,0.10852681,0.900964,0.10750648,0.059166529,0.05450376,0.054065697,0.81016518,0.16664065,0.065188818,0.81327053,0.93758682,0.20013957,0.89249352,0.94083347,0.94549624,0.9459343,0.18983482,0.83335935,0.93481118,0.18672947,0.062413184,0.79986043,-7.0098728
-27.967943,0.96034237,0.88745175,3,7,0,29.4361,0.61863694,0.090261811,0.38136306,0.90973819,0.29537812,0.23151572,0.21319471,0.20806801,0.80983393,0.41020284,0.26632898,0.82440501,0.92099912,0.45798699,0.70462188,0.76848428,0.78680529,0.79193199,0.19016607,0.58979716,0.73367102,0.17559499,0.079000882,0.54201301,-6.3270396
-27.992029,0.99918372,0.88745175,2,3,0,28.265043,0.61867171,0.08865131,0.38132829,0.91134869,0.29499117,0.23107192,0.21275817,0.20764038,0.81248941,0.41084885,0.2661686,0.82696604,0.92261764,0.45825075,0.70500883,0.76892808,0.78724183,0.79235962,0.18751059,0.58915115,0.7338314,0.17303396,0.077382364,0.54174925,-6.3268796
-26.940671,1,0.88745175,2,3,0,28.283027,0.6796389,0.14722935,0.3203611,0.85277065,0.27308194,0.20649563,0.1888383,0.18428462,0.7336563,0.35417352,0.22909446,0.74821918,0.87347814,0.41031161,0.72691806,0.79350437,0.8111617,0.81571538,0.2663437,0.64582648,0.77090554,0.25178082,0.12652186,0.58968839,-6.4868371
-27.391992,0.90657056,0.88745175,1,1,0,27.402107,0.63701979,0.14685929,0.36298021,0.85314071,0.29847378,0.23507806,0.21670465,0.21150829,0.73052172,0.38190444,0.26036077,0.74632349,0.86607216,0.43752872,0.70152622,0.76492194,0.78329535,0.78849171,0.26947828,0.61809556,0.73963923,0.25367651,0.13392784,0.56247128,-6.39279
-26.848572,1,0.88745175,2,3,0,27.477342,0.80946947,0.18317419,0.19053053,0.81682581,0.18913916,0.12307339,0.11124943,0.10920197,0.69825614,0.2431102,0.13324407,0.70710524,0.86061327,0.29696858,0.81086084,0.87692661,0.88875057,0.89079803,0.30174386,0.7568898,0.86675593,0.29289476,0.13938673,0.70303142,-6.9162017
-27.579489,0.94866497,0.88745175,2,7,0,27.800567,0.88020874,0.14407217,0.11979126,0.85592783,0.12277229,0.069824152,0.063924157,0.063285208,0.74656752,0.17268909,0.075674734,0.75079937,0.90173407,0.21415685,0.87722771,0.93017585,0.93607584,0.93671479,0.25343248,0.82731091,0.92432527,0.24920063,0.098265926,0.78584315,-7.0546086
-26.641096,0.97957237,0.88745175,2,3,0,28.062177,0.79953187,0.11927375,0.20046813,0.88072625,0.18541359,0.11978375,0.10829128,0.10634408,0.77740355,0.26332917,0.13430844,0.78581692,0.91436546,0.31193602,0.81458641,0.88021625,0.89170872,0.89365592,0.22259645,0.73667083,0.86569156,0.21418308,0.085634539,0.68806398,-6.7619394
