variable	ontology_term
A	LikelihoodMatrix
B	TransitionMatrix
C	LogPreferenceVector
D	PriorOverHiddenStates
E	Habit
F	VariationalFreeEnergy
G	ExpectedFreeEnergy
G_epi	EpistemicValue
G_ins	InstrumentalValue
o	Observation
s	HiddenState
s_prime	NextHiddenState
t	Time
u	Action
γ	PrecisionParameter
π	PolicyVector
