# ActiveInference.jl Data Export
# Variable: beliefs_trace
# Exported: 2025-07-07T12:44:11.627
time,beliefs_trace
1.0,0.6666666666666666
2.0,0.5714285714285714
3.0,0.627450980392157
4.0,0.5950413223140495
5.0,0.6139747995418099
6.0,0.6029764762361978
7.0,0.6093864743974898
8.0,0.6056577955262643
9.0,0.6078291870288511
10.0,0.6065655030740752
11.0,0.6073012076935491
12.0,0.6068729820688569
13.0,0.6071222679124663
14.0,0.6069771603309831
15.0,0.27862007540953354
16.0,0.2248687892540245
17.0,0.20114440730797345
18.0,0.1909629571589399
19.0,0.47859895465520547
20.0,0.32201632084177606
