# ActiveInference.jl Simulation Results
# Generated: 2026-05-12T07:34:24.174
# Model: Bnlearn Causal Model
# Steps: 30
# Columns: step, observation, action, belief_state_1
1,2,1,0.25
2,2,1,0.1818181818181819
3,2,1,0.16532258064516134
4,2,1,0.16145092460881938
5,2,1,0.1605487346529692
6,2,1,0.16033885592005123
7,2,1,0.16029005041990693
8,1,2,0.6320609935524416
9,1,2,0.7081721721316959
10,1,2,0.6818757163167914
11,2,1,0.19913754339633216
12,2,1,0.16943665711940362
13,2,1,0.1624123090959899
14,2,1,0.1607725308403262
15,1,2,0.6322547962645512
16,1,2,0.7081073600985758
17,2,1,0.19236546070010663
18,1,2,0.6447593781188103
19,2,1,0.2089491828680717
20,2,1,0.17178998980991034
21,1,2,0.6366568550377596
22,2,1,0.21112780429410422
23,2,1,0.17231478118179447
24,2,1,0.1630865371866364
25,1,2,0.6331830845571851
26,2,1,0.2120659444443126
27,2,1,0.17254101518777765
28,2,1,0.16313959285408444
29,2,1,0.16094193259455591
30,1,2,0.632322821026124
