variable	ontology_term
A_agent1	Agent1LikelihoodMatrix
A_agent2	Agent2LikelihoodMatrix
A_agent3	Agent3LikelihoodMatrix
C_agent1	Agent1PreferenceVector
C_agent2	Agent2PreferenceVector
C_agent3	Agent3PreferenceVector
D_agent1	Agent1PositionPrior
D_agent2	Agent2PositionPrior
D_agent3	Agent3PositionPrior
G1	Agent1ExpectedFreeEnergy
G2	Agent2ExpectedFreeEnergy
G3	Agent3ExpectedFreeEnergy
env_signal	EnvironmentalSignal
o_agent1	Agent1Observation
o_agent2	Agent2Observation
o_agent3	Agent3Observation
pi1	Agent1PolicyVector
pi2	Agent2PolicyVector
pi3	Agent3PolicyVector
s_agent1	Agent1PositionState
s_agent2	Agent2PositionState
s_agent3	Agent3PositionState
signal_decay	SignalDecayRate
t	Time
u_agent1	Agent1Action
u_agent2	Agent2Action
u_agent3	Agent3Action
