variable	ontology_term
A_agent1	LikelihoodMatrix
A_agent2	LikelihoodMatrix
B_agent1	TransitionMatrix
B_agent2	TransitionMatrix
C_agent1	LogPreferenceVector
C_agent2	LogPreferenceVector
D_agent1	PriorOverHiddenStates
D_agent2	PriorOverHiddenStates
G1	Agent1ExpectedFreeEnergy
G2	Agent2ExpectedFreeEnergy
o_agent1	Agent1Observation
o_agent2	Agent2Observation
o_joint	JointObservation
s_agent1	Agent1HiddenState
s_agent2	Agent2HiddenState
s_joint	JointState
t	Time
u1	Agent1Action
u2	Agent2Action
x_next1	Agent1NextHiddenState
x_next2	Agent2NextHiddenState
π1	Agent1PolicyVector
π2	Agent2PolicyVector
