# ActiveInference.jl Simulation Results
# Generated: 2026-03-13T14:07:16.438
# Model: Simple MDP Agent
# Steps: 15
# Columns: step, observation, action, belief_state_1
1,3,2,9.997000899730073e-5
2,4,1,1.1110863845008921e-8
3,4,1,1.2345389400136321e-12
4,4,1,1.3717082397186813e-16
5,4,1,1.5241183845405893e-20
6,4,1,1.1111097392351887e-20
7,4,1,1.1111097392351887e-20
8,3,2,9.990120891415918e-20
9,4,1,1.1119873691072694e-20
10,3,2,9.990113884247289e-20
11,4,1,1.1119873684141078e-20
12,4,1,1.1111098259144064e-20
13,4,1,1.1111097392437538e-20
14,4,1,1.1111097392351887e-20
15,4,1,1.1111097392351887e-20
